Metric|Value|Timestamp
temperature|88|2022-06-04T12:01:00.000Z
temperature|89|2022-06-04T12:01:30.000Z
temperature|85|2022-06-04T13:02:00.000Z
temperature|89|2022-06-04T13:02:30.000Z
temperature|86|2022-06-04T15:03:00.000Z
temperature|86|2022-06-04T17:03:00.000Z
temperature|88|2022-06-04T17:03:30.000Z
temperature|87|2022-06-04T18:05:30.000Z
temperature|86|2022-06-05T07:10:00.000Z
temperature|86|2022-06-05T07:10.30.000Z
temperature|88|2022-06-05T15:24:00.000Z
temperature|87|2022-06-05T15:24:30.000Z
precipitation|0.5|2022-06-04T14:23:32.000Z
precipitation|0.8|2022-06-04T18:05:32.000Z
precipitation|0.4|2022-06-05T00:00:00.000Z
precipitation|1.2|2022-06-05T00:00:30.000Z
